Order_ID,Date,Product_Name,Category,Quantity_Sold,Unit_Price,Total_Sales,Payment_Method,Branch
ORD0001,2025-03-23,Cheesecake,Cake,1,50,50,E-Wallet,Subang Jaya
ORD0002,2025-02-01,Blueberry Muffin,Pastry,3,10,30,E-Wallet,Shah Alam
ORD0003,2025-03-28,Latte,Drink,2,14,28,E-Wallet,Subang Jaya
ORD0004,2025-01-05,Chocolate Cake,Cake,2,45,90,Cash,Shah Alam
ORD0005,2025-03-06,Cappuccino,Drink,1,15,15,E-Wallet,Shah Alam
ORD0006,2025-04-02,Latte,Drink,7,14,98,Cash,Subang Jaya
ORD0007,2025-03-17,Baguette,Bread,1,8,8,Cash,Klang
ORD0008,2025-02-24,Whole Wheat Bread,Bread,5,9,45,Cash,Shah Alam
ORD0009,2025-04-08,Whole Wheat Bread,Bread,2,9,18,Cash,Subang Jaya
ORD0010,2025-01-13,Whole Wheat Bread,Bread,6,9,54,E-Wallet,Subang Jaya
ORD0011,2025-04-14,Chocolate Cake,Cake,8,45,360,E-Wallet,Shah Alam
ORD0012,2025-04-29,Chocolate Cookie,Cookie,2,6,12,E-Wallet,Subang Jaya
ORD0013,2025-04-17,Cappuccino,Drink,6,15,90,E-Wallet,Shah Alam
ORD0014,2025-04-01,Cheesecake,Cake,1,50,50,E-Wallet,Shah Alam
ORD0015,2025-04-09,Baguette,Bread,2,8,16,Cash,Shah Alam
ORD0016,2025-02-18,Baguette,Bread,8,8,64,E-Wallet,Subang Jaya
ORD0017,2025-01-21,Whole Wheat Bread,Bread,6,9,54,Cash,Klang
ORD0018,2025-02-04,Cheesecake,Cake,3,50,150,E-Wallet,Klang
ORD0019,2025-02-01,Croissant,Pastry,8,12,96,Card,Subang Jaya
ORD0020,2025-04-29,Latte,Drink,4,14,56,E-Wallet,Subang Jaya
ORD0021,2025-04-18,Chocolate Cake,Cake,4,45,180,Cash,Subang Jaya
ORD0022,2025-02-21,Baguette,Bread,2,8,16,Cash,Klang
ORD0023,2025-04-23,Whole Wheat Bread,Bread,4,9,36,E-Wallet,Subang Jaya
ORD0024,2025-02-20,Macaron,Cookie,3,7,21,Card,Shah Alam
ORD0025,2025-02-01,Latte,Drink,5,14,70,E-Wallet,Klang
ORD0026,2025-02-24,Cappuccino,Drink,7,15,105,Card,Shah Alam
ORD0027,2025-01-18,Latte,Drink,8,14,112,Cash,Shah Alam
ORD0028,2025-04-21,Cheesecake,Cake,3,50,150,E-Wallet,Shah Alam
ORD0029,2025-04-12,Chocolate Cookie,Cookie,2,6,12,Card,Subang Jaya
ORD0030,2025-03-18,Macaron,Cookie,5,7,35,E-Wallet,Shah Alam
ORD0031,2025-03-29,Cheesecake,Cake,5,50,250,E-Wallet,Subang Jaya
ORD0032,2025-01-15,Baguette,Bread,7,8,56,Cash,Subang Jaya
ORD0033,2025-01-01,Baguette,Bread,3,8,24,E-Wallet,Shah Alam
ORD0034,2025-04-22,Baguette,Bread,4,8,32,Cash,Subang Jaya
ORD0035,2025-04-08,Croissant,Pastry,1,12,12,E-Wallet,Subang Jaya
ORD0036,2025-03-04,Chocolate Cake,Cake,2,45,90,Card,Subang Jaya
ORD0037,2025-01-31,Chocolate Cake,Cake,4,45,180,E-Wallet,Shah Alam
ORD0038,2025-01-11,Macaron,Cookie,2,7,14,E-Wallet,Shah Alam
ORD0039,2025-01-17,Macaron,Cookie,3,7,21,Card,Klang
ORD0040,2025-04-22,Cappuccino,Drink,7,15,105,Cash,Klang
ORD0041,2025-04-07,Blueberry Muffin,Pastry,5,10,50,Card,Klang
ORD0042,2025-03-25,Whole Wheat Bread,Bread,8,9,72,E-Wallet,Subang Jaya
ORD0043,2025-01-16,Blueberry Muffin,Pastry,4,10,40,Cash,Subang Jaya
ORD0044,2025-01-03,Cappuccino,Drink,4,15,60,E-Wallet,Shah Alam
ORD0045,2025-01-01,Cheesecake,Cake,1,50,50,Cash,Shah Alam
ORD0046,2025-04-26,Chocolate Cake,Cake,6,45,270,Cash,Klang
ORD0047,2025-01-31,Baguette,Bread,8,8,64,Cash,Klang
ORD0048,2025-01-17,Cappuccino,Drink,8,15,120,Cash,Subang Jaya
ORD0049,2025-04-14,Chocolate Cookie,Cookie,4,6,24,Cash,Shah Alam
ORD0050,2025-03-26,Chocolate Cookie,Cookie,6,6,36,Card,Subang Jaya
ORD0051,2025-03-01,Chocolate Cake,Cake,2,45,90,Cash,Subang Jaya
